id,community,display_name
https://openalex.org/A5001528515,0,
https://openalex.org/A5050932651,0,
https://openalex.org/A5080534910,0,
https://openalex.org/A5108558234,0,
https://openalex.org/A5088681766,0,
https://openalex.org/A5072606974,0,
https://openalex.org/A5109406876,0,
https://openalex.org/A5078699564,0,
https://openalex.org/A5065672174,0,
https://openalex.org/A5039509731,0,
https://openalex.org/A5015601620,0,
https://openalex.org/A5006935542,0,
https://openalex.org/A5024804688,0,
https://openalex.org/A5066582682,0,
https://openalex.org/A5040467938,0,
https://openalex.org/A5079546168,0,
https://openalex.org/A5100693708,0,
https://openalex.org/A5019051904,0,Davide Vega
https://openalex.org/A5114626700,0,
https://openalex.org/A5055069715,0,
https://openalex.org/A5049947337,0,
https://openalex.org/A5082386973,0,
https://openalex.org/A5045892894,0,
https://openalex.org/A5087660235,0,
https://openalex.org/A5045339215,0,
https://openalex.org/A5111657041,0,
https://openalex.org/A5034962123,0,
https://openalex.org/A5047870955,0,
https://openalex.org/A5013229642,0,
https://openalex.org/A5050830060,0,
https://openalex.org/A5053853741,0,
https://openalex.org/A5075927708,0,
https://openalex.org/A5087453695,0,
https://openalex.org/A5013822898,0,
https://openalex.org/A5076857991,0,
https://openalex.org/A5011836054,0,
https://openalex.org/A5027684619,0,
https://openalex.org/A5024678267,0,
https://openalex.org/A5032566311,0,
https://openalex.org/A5013164931,0,
https://openalex.org/A5089371738,0,
https://openalex.org/A5022824893,0,
https://openalex.org/A5039936615,0,
https://openalex.org/A5017937791,0,
https://openalex.org/A5069778388,0,
https://openalex.org/A5025609514,0,
https://openalex.org/A5006308310,0,
https://openalex.org/A5110054677,0,
https://openalex.org/A5037779476,0,
https://openalex.org/A5087383958,0,
https://openalex.org/A5039370883,0,
https://openalex.org/A5092103078,0,
https://openalex.org/A5018784231,0,
https://openalex.org/A5060174190,0,
https://openalex.org/A5080624204,0,
https://openalex.org/A5111181658,0,
https://openalex.org/A5090303125,0,
https://openalex.org/A5034321268,0,
https://openalex.org/A5021579981,0,
https://openalex.org/A5026384166,0,
https://openalex.org/A5009408451,0,
https://openalex.org/A5111491357,0,
https://openalex.org/A5030360680,0,
https://openalex.org/A5087974848,0,
https://openalex.org/A5071089830,0,
https://openalex.org/A5090046099,0,
https://openalex.org/A5011499597,0,
https://openalex.org/A5020551548,0,
https://openalex.org/A5031284141,0,
https://openalex.org/A5059741860,0,
https://openalex.org/A5031573878,0,
https://openalex.org/A5076755077,0,
https://openalex.org/A5085261603,0,Niccolò Di Marco
https://openalex.org/A5070255529,0,
https://openalex.org/A5040544719,0,
https://openalex.org/A5010649118,0,
https://openalex.org/A5091529284,0,
https://openalex.org/A5076938565,0,
https://openalex.org/A5022105203,0,
https://openalex.org/A5072953707,0,
https://openalex.org/A5074855536,0,
https://openalex.org/A5066864067,0,
https://openalex.org/A5082923475,0,
https://openalex.org/A5014772457,0,
https://openalex.org/A5080229297,0,
https://openalex.org/A5027174061,0,
https://openalex.org/A5062806548,0,
https://openalex.org/A5069828433,0,
https://openalex.org/A5070454804,0,
https://openalex.org/A5048332811,0,
https://openalex.org/A5039534270,0,
https://openalex.org/A5035382643,0,
https://openalex.org/A5084641844,0,
https://openalex.org/A5009474079,0,
https://openalex.org/A5056297261,0,
https://openalex.org/A5007317974,0,
https://openalex.org/A5021557805,0,
https://openalex.org/A5036935860,0,
https://openalex.org/A5005986134,0,
https://openalex.org/A5013385420,0,Francesco Pierri
https://openalex.org/A5087656937,0,
https://openalex.org/A5037669899,0,
https://openalex.org/A5074881863,0,
https://openalex.org/A5050674002,0,
